BOLD_ID,Phylum,Class,Order,Family,Genus,Species
BOLD:ADC3449,Arthropoda,Insecta,Odonata,Platystictidae,Telosticta,Telosticta longigaster
BOLD:ADC3515,Arthropoda,Insecta,Odonata,Platystictidae,Telosticta,Telosticta longigaster
BOLD:ADC3516,Arthropoda,Insecta,Odonata,Platystictidae,Telosticta,Telosticta longigaster
BOLD:ADC3517,Arthropoda,Insecta,Odonata,Platystictidae,Telosticta,Telosticta longigaster
BOLD:ADC3518,Arthropoda,Insecta,Odonata,Platystictidae,Telosticta,Telosticta longigaster
BOLD:ADC3533,Arthropoda,Insecta,Odonata,Platystictidae,Drepanosticta,Drepanosticta dentifera
BOLD:ADC3534,Arthropoda,Insecta,Odonata,Platystictidae,Drepanosticta,Drepanosticta dentifera
BOLD:ADC3659,Arthropoda,Insecta,Odonata,Platystictidae,Telosticta,Telosticta longigaster
BOLD:ADC3660,Arthropoda,Insecta,Odonata,Platystictidae,Telosticta,Telosticta longigaster
BOLD:ADC4563,Arthropoda,Insecta,Blattodea,Kalotermitidae,Incisitermes,Incisitermes schwarzi
BOLD:ADC4579,Arthropoda,Insecta,Odonata,Coenagrionidae,Stenagrion,Stenagrion dubium
BOLD:ADC4580,Arthropoda,Insecta,Odonata,Coenagrionidae,Stenagrion,Stenagrion dubium
BOLD:ADC4758,Arthropoda,Insecta,Blattodea,Kalotermitidae,Incisitermes,Incisitermes schwarzi
BOLD:ADC5197,Arthropoda,Insecta,Blattodea,Kalotermitidae,Incisitermes,Incisitermes schwarzi
BOLD:ADC5211,Arthropoda,Insecta,Odonata,Coenagrionidae,Stenagrion,Stenagrion dubium
BOLD:ADC5224,Arthropoda,Insecta,Odonata,Platystictidae,Drepanosticta,Drepanosticta dentifera
BOLD:ADC5225,Arthropoda,Insecta,Odonata,Platystictidae,Drepanosticta,Drepanosticta dentifera
BOLD:ADC5226,Arthropoda,Insecta,Odonata,Platystictidae,Drepanosticta,Drepanosticta dentifera
BOLD:ADC5227,Arthropoda,Insecta,Odonata,Platystictidae,Drepanosticta,Drepanosticta dentifera
BOLD:ADC5311,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Stenacron,Stenacron interpunctatum
BOLD:ADC5369,Arthropoda,Insecta,Odonata,Coenagrionidae,Stenagrion,Stenagrion dubium
BOLD:ADC5370,Arthropoda,Insecta,Odonata,Coenagrionidae,Stenagrion,Stenagrion dubium
BOLD:ADC5478,Arthropoda,Insecta,Lepidoptera,Pieridae,Gonepteryx,Gonepteryx rhamni
BOLD:ADC5511,Arthropoda,Insecta,Blattodea,Kalotermitidae,Incisitermes,Incisitermes schwarzi
BOLD:ADC5901,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Cephetola,Cephetola sublustris
BOLD:ADC5905,Arthropoda,Insecta,Hymenoptera,Formicidae,Rhytidoponera,Rhytidoponera kaksp2_auratagp
BOLD:ADC6116,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Cephetola,Cephetola kiellandi
BOLD:ADC6162,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,Ablabesmyia longistyla
BOLD:ADC6167,Arthropoda,Insecta,Lepidoptera,Crambidae,Chilo,Chilo suppressalis
BOLD:ADC6392,Arthropoda,Insecta,Lepidoptera,Geometridae,Antharmostes,Antharmostes interalbicans
BOLD:ADC6588,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole biconstricta
