BOLD_ID,Phylum,Class,Order,Family,Genus,Species
BOLD:ADF5156,Arthropoda,Insecta,Diptera,Chironomidae,Limnophyes,Limnophyes pumilio
BOLD:ADF6012,Arthropoda,Insecta,Diptera,Psychodidae,Phlebotomus,Phlebotomus tobbi
BOLD:ADF6016,Arthropoda,Insecta,Hymenoptera,Formicidae,Iridomyrmex,Iridomyrmex anceps group
BOLD:ADF6290,Arthropoda,Insecta,Hymenoptera,Formicidae,Iridomyrmex,Iridomyrmex anceps group
BOLD:ADF6324,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Smicridea,Smicridea penai
BOLD:ADF6662,Arthropoda,Insecta,Hymenoptera,Figitidae,Alloxysta,Alloxysta castanea
BOLD:ADF6950,Arthropoda,Insecta,Hymenoptera,Formicidae,Iridomyrmex,Iridomyrmex anceps group
BOLD:ADF7138,Arthropoda,Insecta,Diptera,Psychodidae,Phlebotomus,Phlebotomus galilaeus
BOLD:ADF7284,Arthropoda,Insecta,Hymenoptera,Figitidae,Alloxysta,Alloxysta consobrina
BOLD:ADF7539,Arthropoda,Insecta,Hymenoptera,Formicidae,Iridomyrmex,Iridomyrmex anceps group
BOLD:ADF7739,Arthropoda,Insecta,Diptera,Psychodidae,Phlebotomus,Phlebotomus galilaeus
BOLD:ADF7739,Arthropoda,Insecta,Diptera,Psychodidae,Phlebotomus,Phlebotomus neglectus
